Story_ID,Q,A
467,masomo ni sindu sina,silayi
467,masomo kakhonya mundu husina ,vulamu vyae
467,nolipwa onyala wakula si,omtoka
467,mwalimu yekesia bana sina ,tsihesabu
467,abandu nibasoma sivari,husanda muvulamu
467,masomo khukonya mundu mu,vulamu vyae
467,mwalimu hukesia baana si,tsihesabu
467,abandu nabasoma siwanyala kukhola si,husanda muvulamu vyao
474,ifula igama nende sina ,misala
474,ifula iri iuama vindu kukhola si,vifua
474,matsi karula siala tsiosi vandu vanyala,hufua
474,bari nende isolo tsimenya nyanga tsinga,arubaini
474,baandu bamarachi west vategeme si,ifula
474,ifula igamwa nende sina,misala
474,wa ifula yumao vindu viholanga sina ,vifua
474,matsi nikabula sialo siosi bandu vanyala hukhola sian,hufua
474,huri nende isolo inyala khumenya chinyanga chinga ,arubaini
474,bandu va bamarachi west wategemea sina ,ifula
482,masomo ni sina,malai
482,baandu nosoma balanyala kuwa si, daktari
482,nosoma olanyola si,matongolo manji
482,nyanga  tsino masomo tsina si ,mani
482,wina ahonye bandu bae,nyasaye mwikulu
482,bandu nivasoma vanyala huva sina , daktari
482,tsinyanga thino wenya osome nende sina ,mani
496,sikuli siao silangwa sina,vusire primary school
496,misala kukhola sikuli siwe si,malai
496,sikuli syao baandu kukhola si bilai,marebo
496,baandu huwakuriria sina,tsiuniform
496,sikuli sia siri nende sira silai,vima
496,misala kikhola sikuli siefue khulolekhana indie,malai
496,sikuli siayo bandu bakholanga sina ,marebo
496,vandu balakurirwa sina musikuli,tsiuniform
496,sikuli siabu siri nende sina silai ,vima
1008,serekali yainyie si,matongolo manji
1008,wandera yaburira sina ,abalimi
1008,wandera yatsia muofisi yamukaanda si,kwabalimi
1008,yaandika sina bulayi halala,ifomu
1008,omuse okwo mukaanda kwalangu mbu si,kuseese
1008,wandera yahulila si,abalimi niboopanga
1010,khare khare khuariwo nende wina,omushere
1010,siduyu yaraka tsina,tsinjugu
1010,omushere yaruma siduyu mundalo rina,mwosi kwa khubiri
1010,ni wiina owaruma siduyu mundalo,omushere
1010,khubera sina siduyu siri nedne marwi makhongo ,mushere yakhweesa amarwi
1010,khare khuariwo nende wina,omushere
1010,siduyu siaraka sindu sina ,tsinjugu
1010,khubera tsina tsiduyu siri nende amarwi makhongo,mushere yakhweesa amarwi kasio
1015,ni bulware sina obwatsaka omwosi kwa khurano,korona
1015,serikali yarusia siina karona nibuakhetsa musibala,malako
1015,ni wina owaboola mbari bikuli biikalwe,uhuru kenyata
1015,korona yatsaka mwosi sina,khurano
1015,khubera sina bikuli biekalwa,korona yetsa mukenya
1024,sikuli syao siri nende valimu si,vasavi
1024,valimu vamanya kukhola si,huekesia vilai
1024,sikuli siefue siri nende tsikilasi tsinga ,8
1024,sikuli siao sikhola sina sana,sienyala
1024,khuvera siumao siahaishira kusi,murisivo
1024,sikuli siao siri nende sina ,vasavi
1024,balimu vamanya huekesia indie ,huekesia vilai
1024,sikuli siri nende madarasa tsinga,munane
1029,omusiani yakhera sina,obusuma
1029,musiani yekhera obusuma nende sina,omena
1029,omusiani asomanga musikuli sina,bujumba
1029,ni wina owakhera obusuma nende omena,omusiani
1029,khulua sina omusiani yakheera obusuma,nibulahyi
1029,sikuli ya omusiani ni yina,bujumba
1036,kuhu arume omwana atsie ena,avake chinjugu
1036,natsia  nanina si,msala mkhongo
1036,nakaluha ohuri naira ena,ingo
1036,mama atsia ena,mjikoni
1036,bwana olare olare yenyaho hulura,tsimbiro
1036,omwana yatsia kuvaka sina,chinjugu
1039,hale hale yaluo wina undi,mhasi
1039,tsiolanga tsinyanga tsia huchesa ,chinjugu
1039,nibaola mundalo banyola si,chinjugu tsiumao
1039,mama yavorera mwana atsie ena,asudie muriro na hamuna
1039,vahamala varaho matsi ka si,vusuma
1039,hale yaluo wina,mhasi
1046,mshere yari yamenya nende wina,abeetsukhulu
1046,omwitsukhulu yaria sina esidong'ere,amafura
1046,mushere yari niyamenya nende abeetsukhulu banga,badaru
1046,omushere yarula natsia ena,khuringa ebiakhuria
1046,khubeera sina kukhu yatsia khumulakusi,khumanya mbari wiina yaria ebiakhuria
1046,mshere yamenyanga nende wiina,abetsukhulu
1046,kukhu yarula naatsia ena,khusiiro
1046,mulakusi yaberesia mushere sina,musala
1046,ni sina esia mundu yaris munyumba ya mushere,mafura
1046,khubeerasi mshere yatsa khumulakusi,khumanya ni wina owaria ebiakhuria
1046,wina yari yamenya nende mshere,abetsukhulu
1049,mama mulai ashira wina,baba
1049,mirimo kia ena mama ashira baba,mjikoni
1049,ifiisi msikuli wina ashira mwingine ,baba 
1049,inyanga youfuamama kukhola si ,okonyola niyehale
1049,inzala iluma wina ari mulai kushira mwingine ,mama
1049,mama mulai ashira wi,baba
1049,mama ashira baba mirimo sina ,mjikoni
1049,wina ashira mama mu ifiisi msikuli,baba 
1049,inyanga ya hufua mama akholanga sina ,okonyola niyehale
1049,baba shira wina inzala niluma,mama
1074,msialo muno mundu are nende busi hu akhole sindu ,huuria
1074,nyanga yaristingi vuluaye indi si,imbi
1074,batangasia niihula saa moja mundu abeena ,mdala mwefu
1074,omuruki yaboola mbari saa ndala abandu babe yena,mudala
1074,khubeera sina abandu babe nibeerukha khutsia ingo,baranyolua nende abasikari
1074,khusialo khuno muri mundu ari nende sina ,khurira
1074,inyanga imbi yari omwosi kwa khunga,khusasaba
1074,bandu batsaka khuirukka saa moja nende tsidakika tsinga,tsirano
1074,balola wina nde mirondo ,vaskari
1074,nirula saa moja ari nende wina nibarula mudala,muitsa
1074,buluare sina obuabakho khu inyanga imanu eyoo,korona
1074,balola wina nende mirondo ,vaskari
1074,norula saa moja obe nende wina ,muitsa
1074, vavola wina alava nende mirondo,vaskari
1077,khare khare yariiwo wina,omusiani
1077,omusiani khasiyajamanga khukholwa sina,khukererwa
1077,omusiani yanyorekha nende imbusi ya beene khu tsinyanga tsinga,ekhumi
1077,baira omusiani mu sidwariro sia ena,murumba
1077,khubeera sina abesbusi ba musiani baboya mukoye munda,amakhuwa khasikaba amalayi
1077,khare yariiwo wina,omusiani
1077,omusiani yanyorekha nende sina,imbusi ya beene
1080,ni sindu sina esia omwemeresi aborere mbu sitsaka,emibayo
1080,mibayo kitsaka musikuli sina,esiefwe
1080,emibayo kitsaka muosi sina,kuno
1080,wina balabaya emibayo ,ababayi 
1080,khubeera sina beerukhi ba tsimbiro batsake khuetayarisia isaino,ili banyole bikombe bia bukhiri
1080,sikuli sialangwa si,vujumba
1080,sikuli sinyolekhana ena ,mulukhongo bwa vumala
1080,ajama sikuli syae huvera si,siholanga vilayi
1080,sikuli siayo siwakhanyolamo si,makokha
1080,valimu vao vaunanga tsaa tsinga miskuli,ithuri
1080,sikuli syao sialangwa si,vujumba isekondari
1080,yatsama sikuli siaye huvera si,siholanga vilayi
1080,sikuli syao sionyolamo,makokha kose vunyasi
1080,valimu vao vaunananga saa tsinga ,ithuri
1231,obulware bwarula ena,china
1231,bwachaka omwesi sina,3
1231,nibamalire kupima baandu huambukisia balali,mndege
1231,abandu bari ena bafutwa,mirimo
1231,bulana yenya wina akhonye sialo sia,nasaye 
1231,bwachaka omwesi si,kwadaru
1233,abaana bakhana basomesebwanga nende wina,kukhu
1233,abana basiani beekesiabuanga nende wina,abakuka
1233,abana bakhana beekesibwanga nende bakukhu ebindu binga,bingi
1233,amasomo kalomalomerwa kaba aka rina,khare
1233,amasomo kekesibwanga endye,khubirira khu tsingado
1233,wina khusomesebanga abaana bakhana,kukhu
1233,wina yekesianga abana basiani,abakuka
1234,yaruo mundu alangwa endie ,werimo
1234,yari nende miandu kushira wina,ekiemiruko
1234,vaasani vetsere yari akohala si,akonere
1234,werimo sinyala si,okhunyahama
1234,babola baba olwa ori ahambi si,khufwa
1234,yario mundu alangangwa wina ,werimo
1234,basiani nga vesta ari akholanga sina ,ekiemiruko
1234,yari akholanga sina ,akonere
1234,wairimo siahanyala si,okhunyahama
1235,yari inyanga ya si,inyongesa
1235,khuaba khutsire mu esiselero sia wina,achxi
1235,musiani yasamba inzu yaye bikha sina,itsuri
1235,ithuri kata sina nisiri,idaywa
1235,muhasi siyenya kuma sina ka kivyere anada,mirimo
1235,yari inyanga sina eya khasindakhebirira,inyongesa
1235,musiani yakhola si khubera siniro yakhoya khukonyera ,yakhaya
1235,vadia vana vakhola si,varukha 
1235,ithuri kata sina nisisiri khukholiokha,idaywa
1235,mukhasi siyenyanga hukhola sina ,mirimo
1235,vadia vana vakhola sina,varukha 
1235,omusiani yakhole endie abakofu,yabakhuya
1235,khubeera tsina musiani yasamba inzu yaye,yatsia khumenya nairobi 
1236,misala misabi kiarwangwa sina,tsimbao
1236,misala kireranga sina,ifula
1236,ifula irerwa nende sina,emisala
1236,"are nende ifula, misala kireranga sina",emiuya
1236,khubeera sina abandu barakanga misala,khunyola ifula
1236,musialo sino khuli nende sina,tsimbia
1236,misala mingi kiarwanga sina,tsimbao
1236,emisala kireranga si ,ifula
1236,emisala kibetsanga nende ebiana kama,mapera
1236,emisala kikasia sina syakudekha,makaa
1236,khuri nende tsimbia tsinga etsia misala,tsinyingi
1241,yaba inyanga lwa sina khwekhorekha,arusi
1241,arusi yakalukhana yaba sina,viita
1241,arusi yabaakho ludalo sina,lwakhubiri
1241,yaba arusi eya wiina,naliaka
1241,khubeera sina ndaruuma mubasi,ndari sianinakho ibasi
1241,arusi yakalukhana yaba si,viita
1244,kuka yari sina ,yahera
1244,kuka yari mukhongo wa si,madala
1244,ahuba sina tsimakana ,tsimbungu
1244,nyanga si ayarisie muvuyarisio,ndari
1244,aruma kuhurula ena,khusitanda
1244,kuka yari yakhola si,yahera
1244,akhubanga sina sia makana ,tsimbungu
1244,inyanga si si ndari ndiyarisie mumairisho,ndari
1247,bandu bahera sina  sana,vyakuria
1247,vyahudaru ni vya,kinga
1247,vyakuria vya huviri ni,vyajukasia mviri
1247,mama ayamba sina,ingoho
1247,avuria mpaka ashirwa kukhola si,huwamq
1247, biakhulia biakhudaru ni bia khuba sina ,kinga
1247,viakhuria bia khuviri ni biasina,vyajukasia mviri
1247,mama alamba sina ,ingoho
1251,bari bahale ena,asi
1251,kukhu yachaka hurueresia si,lukano munae
1251,batsia mumwalo kukhola si ,kudaya matsi
1251,anyola mumwala bandu bakhole si ,betsule
1251,mukhana yecherwa nende bakeni,bahongohongo
1251,behala ena,asi
1251,bataya matsi ena,mumwalo
1251,banyola mumwalo bandu nibakhola si ,betsule
1251,mukhana yathenderwa nende vatheni si,bahongohongo
1255,mama yae ni wina ,malai
1255,mama yae ahera vandu si da,vavi
1255,mama ya mbora balastia ena,hukenda 
1255,mama waye yamukurira sina,tsingubo nende vilaro
1255,mama yae yadonga ena,mdala
1255,mama waye ni wi,malai
1255,mama waye yakhera vandu sivari sina da,vavi
1255,mama yae yamkulia si,tsingubo nende vilaro vilai
1259,sikuli siange siinjekesianga olwa abandu bakhoyere bafuale sina,tsingubo
1259,sikuli siefu siekesianga khusoma nende sina,khuandika
1259,sikuli siefu siri nende baalimu banga,bangi
1259,sikuli siefu siri mukaunti sina,busia
1259,khubera sina ndayanza sikuli siange,siimberesianga amakesi
1259,sikuli siefu siri ena,busia
1261,omwaka kwa  corona ni sindu si,sivi
1261,korona siarula ena,china
1261,rais ndahahongere bandu kuingiri ena,thindi
1261,corona idiranga wina lwangu ,baandu
1261,corona yadira rais wa sialo si,tanzania
1261,korona yarula yena ,china
1262,wina waye yarithalika mulukendo,mwitsa
1262,arukula matsi itsuri na kuoosia ena,vweni
1262,akhole si alafu akatsia mdala kufuala tsinguvo,asinge
1262,mwitsa waye yariakasisie sina,vyakuria 
1262,babolwelwe vyakuria ni vya wina,vakeni
1262,wina waye yamulanga mulukendo,mwitsa
1262,yavukula matsi isturi nakosia ena/,vweni
1262,akhole sina alafu atsie mudala khufuala tsingubo,asinge
1264,ndari ndara sina mumarwi,ipamba
1264,ni wina owaamborera mbari ndarinangwa musikuli,mama wange
1264,abandu banga bari khumwanda,abandu bangi
1264,omwandiki yari natsia ena itsuri eyo,musikuli
1264,khuberasina ng'ina mwandiki yamuborara mbari araunanga khusikuli,ingira khasiibetsanga indayi khaba
1264,abandu bangi bari ena,khumwanda
1265,sina siarula ingerekha,buluare
1265,abandu bafuale si,tsibarakoa
1265,ni bahuerehana nende ako abandu bakhola si,bafua
1265,sina sifungwe,makanisa
1265,uno yenya sina ilonde sa meko,ifamilia 
1265,obuluare bwa rula ena,ingerekha
1265,abandu bafuale sina,tsibarakoa
1265,uno yenya sina ilonde emeko,ifamilia 
1267,abeefi bakhola sina,baruingirira
1267,baba yari naatsire amasika ka wina,kukhu
1267,abefi baruingirira inyanga sina,olwakhurano
1267,abefi baruingirira bikha sina,sijiambo
1267,khubera sina ndalama nisiakona,nyasaye amberesia khukona khulayi
1269,yari inyanga ya khotsa khuria sina,arusi
1269,imutoka yaruira murikanisa eria ena,butunyi
1269,imutoka yaruira murikanisa ria ena,butunyi
1269,amare kaandonya bikha sina,ebia khukhenga ikeki
1269,khubeera sina khuatsia mukanisa ria butunyi,khotsa yari acha khuria arusi
1269,khotsa yaria sina,arusi
1269,khotsa ari aria sina,arusi
1269,khotsa yaria arusi inyanga sina,jumamosi
1269,luari inyanga ya wina khuria arusi,khotsa
1269,yari inyanga sina eya khotsa yaria arusi,jumamosi
1269,khubeera sina baamberesia ikeki ikhongo,ndari ndende olwikho nende khotsa
1269,arusi yari inyanga sina,jumamosi
1272,boosi banyala ena,mwisomero lifwe
1272,abukha mumabwibwi na kukhola si bilai,kukasia
1272,odokano yachelewesia bandu huvera si,yari ne rikaratsi 
1272,omwechesi wao yadiriwa endie ,eririma
1272,buli aina ya si tsiariwo,omokhongo
1272,odekaro yachelewesia bandu khubera si,yari nende rikaratsi 
1273,khuaba nikhubayanga ena,muluanyi
1273,nga khuajong'a khubaya khuikala asi wa sina,musala
1273,ni wina oweema khuringa mbari wina yeengira mudala nende mutoka,fuesi
1273,alaka yerukha khutsia khusangarira wina,abakeni
1273,khubera sina alaka yeerukha natsia munyumba,khubola mbari bakeni bari ruanyi
1273,ni wiina owiirukha khutsia khusangarira abakeni,alaka
1275,kuaruo ifisi nende ,siduyu
1275,siduyu siachaka isafari kutsia ena,msino
1275,siduyu syeruha tsimbiro huringala wina ,vana vae
1275,wina alange sidiyu kusima vana vaye ,ifisi
1275,stori siaye sianyangino ni sia ina nende wina ,ifisi ne siduyu
1275,siaruo ifisi nende si,siduyu
1275,stori syae syangino endie,ifisi nende siduyu
1278,jumamosi arula msikuli na kutsia ena ,mdala
1278,yanyola wina narira,mhana
1278,masika kediha nga si,matsi ka mtaro
1278,wina abere alomaloma nivangisia mnyumba ,mama
1278,vandu vambola baba yae akhola si,afwire
1278,niingira nianyola si,mhana arira
1278,bandu babola baba waye akholere si,afwire
1279,mungokho muri nende sina,imondo
1279,boosianga imundu nende amatsi kari karie,malafu
1279,wina akorua sinlu sia ingokho,abandu
1279,imondi iribwangwa nende abandu banga,mulala
1279,khubeera sindu imondo ni ya mundu mulala,ni indindi
1279,imondo inyorekhananga ena,mungokho
1279,baria abandu abakorua sina sia ingokho,bunulu
1280,mwalimu ababola buluaye bumala bandu banga ,barano
1280,bwadodo bwa wina hwakula ,were
1280,yola tsinyanga sina tsifungwa,tsikanisa
1280,kata sina nibaya bandu bala ,tsisalamu
1280,bandu behala mmadala mwao muesi tsinga,9
1280,mwalimu yabaorera buluaye bumala bandu indie,barano
1280,ni sina tsiafungwa,tsikanisa
1280,nibehala mmadala mwao zaidi ya mwosi tsinga,tisa
1282,khare khare yariio wina,omuinda
1282,omuinda yalaangibwa mbari wina,makesi
1282,olwibulo lwa makesi lweehikha khu mirimo nende sina,burimi
1282,makesi yasomia abana banga,bosi
1282,khubera sina omukhana wa makesi khasiyaurisanga amakhua khaba,yari omukhana owa obweni bulayi
1282,khare yariio wina,omuinda
1283,sikuli sya silangwa si,sirikhaya 
